PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,Date/Time
5.2,17.9,18.9,9.2,1.72,6.3,319,Moderate,01-01-2012 00:00
2.3,12.2,30.8,9.7,1.64,6,611,Moderate,01-01-2012 01:00
26.7,33.8,24.4,12.6,1.63,5.2,619,Moderate,01-01-2012 02:00
6.1,6.3,13.5,5.3,1.15,11.1,551,Good,01-01-2012 03:00
6.9,16,21.9,5.6,1.01,12.7,303,Good,01-01-2012 04:00
14.6,35.5,42.9,17.9,1.82,3.1,674,Hazardous,01-01-2012 05:00
1.7,15.8,31.1,12.7,1.8,4.6,735,Poor,01-01-2012 06:00
5,16.8,24.2,13.6,1.38,6.3,443,Moderate,01-01-2012 07:00
10.3,22.7,45.1,11.8,2.03,5.4,486,Poor,01-01-2012 08:00
11.1,24.4,32,15.3,1.69,4.9,535,Poor,01-01-2012 09:00
1.3,5.5,18.3,5.9,0.85,13,529,Good,01-01-2012 10:00
1.6,10.5,21.6,19.3,1.53,5.9,519,Moderate,01-01-2012 11:00
3.7,12.9,26.1,6.6,1.09,10.2,538,Good,01-01-2012 12:00
28.9,34,23.2,4.5,1.02,11,508,Good,01-01-2012 13:00
4.5,12,17.2,6.3,1.18,10.4,232,Good,01-01-2012 14:00
22.4,29.9,27.5,11.8,1.48,7.9,444,Moderate,01-01-2012 15:00
4.5,10.4,18.4,3.7,0.96,14.4,359,Good,01-01-2012 16:00
28.1,56.6,46.7,13.7,1.85,4.1,560,Poor,01-01-2012 17:00
9,15.7,28.5,7.1,1.52,6.1,437,Moderate,01-01-2012 18:00
0.6,24.6,37.1,11.7,1.13,7.7,803,Poor,01-01-2012 19:00
3.5,14.4,30.7,9.4,0.97,8,338,Moderate,01-01-2012 20:00
3.8,10.9,9.1,1.7,1.04,14.4,520,Good,01-01-2012 21:00
0.4,-0.2,25.3,4.5,0.98,10,536,Good,01-01-2012 22:00
8.3,15.4,23.3,4.6,1.03,11.2,461,Good,01-01-2012 23:00
0.5,2,22.9,2.3,0.94,17.9,581,Good,01-02-2012 00:00
16.4,21.3,17.6,4.8,0.93,11.5,324,Good,01-02-2012 01:00
2,3.9,15.3,5.2,1.09,10.1,297,Good,01-02-2012 02:00
10.1,16.6,32.2,6.3,1.85,3.5,637,Poor,01-02-2012 03:00
3.4,9.3,20.6,2.9,1.03,10.2,452,Good,01-02-2012 04:00
67.5,91.2,31.6,34.6,2.31,2.9,785,Hazardous,01-02-2012 05:00
34.6,57.3,28.1,22.6,1.78,3.5,562,Hazardous,01-02-2012 06:00
24,29,26.6,5.3,0.96,10.9,575,Good,01-02-2012 07:00
20.5,33.2,34.4,11.7,1.85,5.1,440,Poor,01-02-2012 08:00
84.4,94.4,26.7,19.8,1.55,10,744,Poor,01-02-2012 09:00
7.1,16.8,14.5,6,0.91,10.8,455,Good,01-02-2012 10:00
83.3,93.5,25.3,6.8,1.71,7.4,594,Moderate,01-02-2012 11:00
30.2,34.1,15.3,3,0.98,11.1,472,Good,01-02-2012 12:00
18.5,25,24.9,6.1,1.32,13.2,480,Good,01-02-2012 13:00
2.3,8.4,23.5,3.7,0.96,10.2,547,Good,01-02-2012 14:00
55.1,72.7,40.5,30.7,2.12,4.9,612,Hazardous,01-02-2012 15:00
3.1,2.2,39.5,29.2,2.61,2.5,898,Hazardous,01-02-2012 16:00
48.3,67.1,31.4,23.3,1.75,4.3,779,Poor,01-02-2012 17:00
68.9,85.2,43.7,13,1.7,8.5,570,Poor,01-02-2012 18:00
17.3,37,27.2,14.9,1.48,5.5,453,Poor,01-02-2012 19:00
8.7,13.2,29.7,15.8,1.4,8.1,604,Moderate,01-02-2012 20:00
2.6,6.9,21,3.5,0.92,11.6,475,Good,01-02-2012 21:00
3.1,8.1,19.7,5.8,1.18,12.9,273,Good,01-02-2012 22:00
1.1,5.2,21.3,6.1,0.89,10.9,524,Good,01-02-2012 23:00
2.2,8.4,19.6,3,0.92,10.2,339,Good,01-03-2012 00:00
70.7,84.8,22.4,8.2,1.59,13.2,587,Moderate,01-03-2012 01:00
12.1,35.3,41.4,30.4,2.67,2.8,861,Hazardous,01-03-2012 02:00
2.8,10.1,13.7,4.1,0.82,10.6,236,Good,01-03-2012 03:00
4.1,19.3,28,14.5,1.45,6.3,509,Moderate,01-03-2012 04:00
144,169.8,42.5,16.1,2.3,7.3,443,Hazardous,01-03-2012 05:00
23.4,56.5,34.2,27.2,1.95,3.7,600,Hazardous,01-03-2012 06:00
4.2,19,23.7,6,1.57,6,625,Poor,01-03-2012 07:00
21.4,26.9,30.1,17.4,1.29,7.6,663,Moderate,01-03-2012 08:00
31.5,44.4,27,-2.8,1.49,5.7,538,Moderate,01-03-2012 09:00
19.5,27.9,25.6,2,1.54,8.1,458,Moderate,01-03-2012 10:00
17.8,29.9,37.5,9.9,1.74,5.4,588,Poor,01-03-2012 11:00
16,19.7,11.2,2.5,1.17,10.2,432,Good,01-03-2012 12:00
75.2,90,30.8,5,1.81,4.8,765,Poor,01-03-2012 13:00
95.7,110.4,36.1,20.5,2.3,6.8,673,Poor,01-03-2012 14:00
14.6,20.6,20.9,1.6,0.94,10.7,587,Good,01-03-2012 15:00
12.8,15.9,22,3.8,1.16,11,377,Good,01-03-2012 16:00
3.3,8.8,16.2,8.4,0.83,10.8,217,Good,01-03-2012 17:00
1.4,23.3,23,25.8,2.06,6.8,730,Poor,01-03-2012 18:00
44,54,44.3,22.7,3.09,5.2,641,Hazardous,01-03-2012 19:00
36,40.3,26.4,5.4,1.15,10.8,264,Good,01-03-2012 20:00
43.3,45.5,28.8,9.5,1.42,7.8,598,Moderate,01-03-2012 21:00
9.3,10.8,15.8,4.6,0.92,10.1,490,Good,01-03-2012 22:00
15.7,25,27.7,10.6,1.44,9.5,482,Moderate,01-03-2012 23:00
7.9,30.3,35.3,27.6,2.07,4.9,724,Hazardous,01-04-2012 00:00
6.8,9.3,13.4,4.9,0.98,10,358,Good,01-04-2012 01:00
4.6,9.2,20.5,5.7,1.03,10.2,545,Good,01-04-2012 02:00
5.2,19.2,22.5,9,1.48,7.3,623,Moderate,01-04-2012 03:00
25.8,35.6,31.2,19,1.48,5.3,411,Moderate,01-04-2012 04:00
10.6,15.4,13.9,8.9,1,10.5,265,Good,01-04-2012 05:00
54,76.8,31.6,16.4,2.15,6.6,513,Poor,01-04-2012 06:00
6.1,13.9,17.2,4.3,1.18,16.4,390,Good,01-04-2012 07:00
12.4,21.2,27.7,3.7,0.99,10.6,467,Good,01-04-2012 08:00
2.9,6.4,11.1,6.6,0.96,11.8,533,Good,01-04-2012 09:00
28.6,42.6,39.9,4,2.2,6.8,639,Poor,01-04-2012 10:00
34.3,52.8,42.7,9.4,1.87,2.5,721,Hazardous,01-04-2012 11:00
13.8,21.4,25.7,3.8,0.95,11,194,Good,01-04-2012 12:00
17,21.7,19.7,11.3,0.99,11.1,214,Good,01-04-2012 13:00
32.2,41.3,32.1,9.4,1.95,4.4,543,Poor,01-04-2012 14:00
11,15.8,20,5.6,1.09,11.2,409,Good,01-04-2012 15:00
23.1,29.5,15.1,3.7,0.92,10.4,399,Good,01-04-2012 16:00
11.4,30.2,36.5,20.3,1.89,6.8,680,Poor,01-04-2012 17:00
1.1,5,24.8,2.1,1.12,12.4,593,Good,01-04-2012 18:00
19.3,26,26.1,5.5,0.82,10.7,214,Good,01-04-2012 19:00
2.3,6.7,23.4,2.8,1.09,14.7,338,Good,01-04-2012 20:00
6.6,28.3,25.7,23.5,2.1,4.1,643,Poor,01-04-2012 21:00
12.2,15,26.6,3.6,0.97,12.9,266,Good,01-04-2012 22:00
8.8,18.7,29.8,14.7,2.03,5.7,600,Poor,01-04-2012 23:00
8.1,16.3,22,15.9,1.63,5.1,527,Moderate,01-05-2012 00:00
7.2,15.9,38.9,12.1,1.46,7.3,452,Moderate,01-05-2012 01:00
15.5,19.9,18.6,7.7,1.04,10.3,503,Good,01-05-2012 02:00
1.5,23.4,43.8,20,1.89,6,681,Poor,01-05-2012 03:00
1.9,5,12.1,4.5,1.12,11,576,Good,01-05-2012 04:00
25.9,28.5,21.5,3.1,1.45,5.5,562,Moderate,01-05-2012 05:00
20.7,23,20.4,6.2,1.05,12.5,318,Good,01-05-2012 06:00
5.4,10.4,13.5,1.1,1.09,12.5,224,Good,01-05-2012 07:00
24.5,47.4,39.9,26.7,2.36,4,878,Hazardous,01-05-2012 08:00
6.2,13,24.3,5,1.01,10.7,205,Good,01-05-2012 09:00
81.9,87,40.4,18.4,2.14,2.9,631,Hazardous,01-05-2012 10:00
101.6,109.9,19.3,9.2,1.32,5,334,Moderate,01-05-2012 11:00
0,8.3,23.5,7.4,0.92,19.7,450,Good,01-05-2012 12:00
19,20.7,20.1,5.3,1.03,10.7,316,Good,01-05-2012 13:00
48.4,53,21,10.4,1.53,6.6,628,Moderate,01-05-2012 14:00
3.4,15.4,24.5,6.4,1.38,4.8,748,Poor,01-05-2012 15:00
4.6,8.9,15.1,6.8,0.93,10.2,378,Good,01-05-2012 16:00
20.3,30.7,31.5,12.5,1.76,7.3,512,Moderate,01-05-2012 17:00
240.1,261.5,40.3,37.6,2.46,3.1,879,Hazardous,01-05-2012 18:00
14.3,16.9,21.8,7.8,1.07,10.4,413,Good,01-05-2012 19:00
0.4,6.4,21.2,1.7,0.94,10.1,226,Good,01-05-2012 20:00
14.4,33.1,31,16.7,2,5.3,622,Poor,01-05-2012 21:00
73.6,89.8,35.1,13.3,2.84,4.1,620,Hazardous,01-05-2012 22:00
0.2,6.2,15,5.5,0.95,14.2,543,Good,01-05-2012 23:00
50,59.6,26.3,9.4,1.68,6.3,541,Moderate,01-06-2012 00:00
3.9,8,21.7,5.9,0.98,12.8,454,Good,01-06-2012 01:00
8.4,11.3,24.5,6.1,1.6,8.2,382,Moderate,01-06-2012 02:00
27.9,44.4,26.3,23.1,1.68,7.7,586,Poor,01-06-2012 03:00
33.2,40.1,29,9.5,1.52,6.5,410,Moderate,01-06-2012 04:00
1.9,5,36.1,7.6,1.75,7.5,481,Moderate,01-06-2012 05:00
7.3,22.4,27.9,6,1.29,6,690,Moderate,01-06-2012 06:00
0.7,4.7,23.7,7.3,0.93,11.4,291,Good,01-06-2012 07:00
18.9,30.4,22.6,12.8,1.55,5.1,341,Moderate,01-06-2012 08:00
2.3,6.9,25.3,4,0.88,12.5,590,Good,01-06-2012 09:00
2,11.5,23.6,13,1.46,7.1,638,Moderate,01-06-2012 10:00
1.1,20.5,28.2,9.8,1.53,5.5,449,Moderate,01-06-2012 11:00
1.2,5.6,30.1,5.9,1.32,5.9,310,Moderate,01-06-2012 12:00
7.8,16.3,21.8,8.1,1.07,10,435,Good,01-06-2012 13:00
9.3,19,31.3,11.2,1.74,6.8,714,Moderate,01-06-2012 14:00
20.9,37.3,21.3,11.1,1.56,5.7,442,Moderate,01-06-2012 15:00
11.7,31.7,41.7,12.4,2.03,3,927,Hazardous,01-06-2012 16:00
3.7,7.3,13.4,0.9,1.12,12.6,246,Good,01-06-2012 17:00
13.3,25.3,22.9,14.1,1.3,6.3,598,Moderate,01-06-2012 18:00
35.3,43.9,20.4,14.4,1.38,5.6,599,Moderate,01-06-2012 19:00
20.3,25.9,26.6,4.9,1.11,10.8,334,Good,01-06-2012 20:00
1.6,12.8,28.1,5.7,1.36,12.5,406,Moderate,01-06-2012 21:00
1.3,6.5,23.8,4.8,0.89,13.8,384,Good,01-06-2012 22:00
4.3,17.5,21.8,12.8,1.47,5.1,437,Moderate,01-06-2012 23:00
11,21.1,23.2,9.6,1.27,6.6,333,Moderate,01-07-2012 00:00
1.1,7.2,11.7,8.6,1.08,10.9,239,Good,01-07-2012 01:00
104.9,127.4,44.6,21.7,2.71,8.2,648,Hazardous,01-07-2012 02:00
29.3,46,45.1,20.7,2.03,3.2,821,Hazardous,01-07-2012 03:00
25.5,32.3,13.3,5.7,1.08,10.9,358,Good,01-07-2012 04:00
3.6,8.2,23.2,9.1,0.97,10.4,370,Good,01-07-2012 05:00
17.9,30.1,44.3,4,1.91,2.6,525,Hazardous,01-07-2012 06:00
139.4,159.9,33.1,22.8,2.28,5.6,576,Poor,01-07-2012 07:00
8.6,21.6,26.6,8.1,1.53,5,647,Moderate,01-07-2012 08:00
5.7,20.8,26.5,13.4,1.87,7.2,437,Moderate,01-07-2012 09:00
